mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_stft,rms,label
"[-305.40286     135.43674      -0.90454155   28.09992       4.1139703
   13.010413      3.2916396    -8.323954     -6.155558     -7.0704308
    2.6414685    -0.5221894     2.1400058 ]",2292.593243553417,2820.9198323303576,4135.101729716474,0.05430726738860504,"[0.47451213 0.462824   0.4567339  0.46231776 0.44541883 0.42705914
 0.40648982 0.4233881  0.41827396 0.4407561  0.46302402 0.45786852]",0.059064966,0
"[-3.7840616e+02  1.3279495e+02 -2.4660885e+00  3.7157383e+01
  5.7239394e+00  1.4888328e+01  6.1592093e+00 -4.1895261e+00
  8.9643300e-01 -2.9224160e-01  1.6892729e+00 -2.0049515e+00
  3.8158860e+00]",2312.8620253150148,2934.44108277651,4216.665524988169,0.05030756938012702,"[0.51567566 0.50692534 0.47066873 0.45077834 0.4313149  0.40819198
 0.37563893 0.4064613  0.4285115  0.45076805 0.48754713 0.49264696]",0.032055885,0
"[-3.1949750e+02  1.0002903e+02 -1.9467314e+01  5.4817554e+01
 -2.8713093e+00  1.6534328e+01 -1.2951979e+01  2.1756532e+00
 -1.9674079e-01 -3.3673161e-01  2.9995239e+00 -9.4174385e-01
  2.2890468e+00]",3438.733274573025,3376.198392258265,6528.864382270696,0.0819257457870672,"[0.44206408 0.4321229  0.42495504 0.45384765 0.46957654 0.4422924
 0.4104807  0.43530148 0.4164529  0.40115172 0.3927799  0.40631062]",0.042162307,0
"[-292.681      117.60561     -4.722159    34.250088    -0.473884
   27.166996    -6.361244     4.100251    -5.9719872   -1.9175164
   -3.5719068   -7.308409     6.240877 ]",2881.9926677382177,3326.1930945224026,5569.547844426181,0.06761823150965864,"[0.48662344 0.45908758 0.45961428 0.49056876 0.47064316 0.44748858
 0.42534238 0.4504745  0.45657226 0.4713193  0.50102496 0.5000085 ]",0.05308652,0
"[-298.96002    128.24802    -12.6408      27.359493    -6.4191365
    5.727601    -6.1055355   -8.794282    -8.324611   -13.008058
   -3.4863508   -7.8231764   -3.1322248]",2541.632668581749,2753.2863107862654,4492.674668764605,0.07067862179604206,"[0.40952924 0.46513605 0.4956848  0.47908437 0.46594912 0.42721564
 0.39420745 0.37906238 0.37277663 0.35205543 0.3493256  0.37083253]",0.07138115,0
"[-3.0019827e+02  1.3602287e+02 -9.9892445e+00  2.2230307e+01
  6.3215762e-01  5.5348859e+00 -1.3775586e+01  5.2181289e-02
 -3.6408520e+00 -4.1108932e+00 -5.2323594e+00  2.5062253e+00
 -5.3707948e+00]",2829.8871447865977,3066.301237782826,5078.005436345297,0.07898033011720461,"[0.42981386 0.4221854  0.41048932 0.41292894 0.44819972 0.5119947
 0.5227377  0.52865094 0.53445274 0.53269917 0.50970954 0.4547194 ]",0.059405625,0
"[-304.57935    156.09157    -19.139984    22.492996    11.799767
   13.725142    -9.2293215   -1.9618795   -3.7500432  -14.607745
   -1.2086815   -2.599389    -1.7826855]",2355.852265337842,2672.5296584730468,4444.714781564919,0.06288002786348036,"[0.3846535  0.40738955 0.42081544 0.42012993 0.42062545 0.44729593
 0.44768345 0.45685095 0.48775834 0.505781   0.45754698 0.41306847]",0.061261076,0
"[-316.83258     135.9966      -12.108898     20.41057      -0.9652812
    8.043309     -0.4551119   -10.437913     -6.5874186    -8.747098
   -1.5945616    -2.3044665    -0.62056816]",2453.5644980474785,2837.656329453996,4323.3149411923105,0.06454340746859939,"[0.45194328 0.47571725 0.48307648 0.48807183 0.46180683 0.42371908
 0.39414856 0.3885101  0.37362453 0.39239755 0.4263999  0.43762675]",0.053509656,0
"[-307.5179     147.81346    -15.609025    32.748043     1.1752018
    8.26714      3.7517576   -6.1010475   -2.9967287   -1.1747845
   -7.5362363   -2.3093581    1.0072609]",2339.628169246275,2688.464869234073,4052.9658432753395,0.06257281074284358,"[0.44125548 0.46221745 0.44938037 0.43395844 0.45881027 0.46969098
 0.43948346 0.45969558 0.50301427 0.5224128  0.51566696 0.45954582]",0.07195427,0
"[-278.85788     93.38703    -35.43553     45.277267   -15.865511
    3.8021002  -21.972145    -3.8622446   -6.209404   -11.868713
   -6.593298    -7.4527726   -4.506097 ]",3662.277125586235,3220.6855273399856,6669.820824243282,0.10565994059898495,"[0.3793892  0.36684018 0.3441091  0.35774875 0.40787163 0.42281532
 0.4273105  0.47680986 0.47566724 0.45123684 0.3935901  0.37205237]",0.06909589,0
